,fit_count,fit_item,reducer,booster
0,2563200.0,117213.0,"['None', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
1,2390400.0,138885.0,"['None', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2']"
2,7416960.000000001,2155.5,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+2', '+1']"
3,2770560.0,77268.0,"['None', 'None', '+10%', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2']"
4,2597760.0,114830.4,"['None', 'None', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2']"
5,9575040.0,142.65,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', '+1', 'None']"
6,2755200.0,106560.0,"['None', 'None', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
7,3321600.0,75204.0,"['None', 'None', 'None', 'None', '+5%', '+5%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
8,6144000.0,3614.3999999999996,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2']"
9,12407040.0,0.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
10,5506560.0,3699.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2']"
11,5155200.0,13951.800000000003,"['None', 'None', 'None', 'None', 'None', 'None', 'None', '+5%', '+5%', '+5%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
12,2398080.0,130430.25,"['None', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', '+1', '+2', '+2', '+2', '+2', '+2', '+2']"
13,3621120.0,51339.75,"['None', '+5%', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%']","['None', 'None', '+1', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
14,9075840.0,901.8,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', '+2', '+2']"
15,4561920.0,24898.05,"['+5%', '+5%', '+5%', '+5%', '+5%', '+5%', '+5%', '+5%', '+5%', '+5%']","['None', 'None', '+1', '+1', '+2', '+2', '+2', '+2', '+2', '+2']"
16,8828160.0,1792.35,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', '+1', '+1', '+1', '+1', '+1', '+1']"
17,4402560.0,45520.8,"['None', '+10%', '+10%', '+10%', '+30%', '+10%', '+5%', '+5%', '+5%', 'None']","['+1', '+1', '+2', '+2', '+1', '+2', '+2', '+2', '+1', '+2']"
18,3799680.0,49312.8,"['None', 'None', '+5%', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%']","['None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
19,7134719.999999999,2348.55,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+2', '+2']"
20,5045760.0,18694.2,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', '+10%', '+10%']","['None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
21,7756800.0,1818.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1']"
