,size of archive
0,17
1,17
2,17
3,18
4,22
5,21
6,23
7,22
8,21
9,21
10,22
11,22
12,23
13,23
14,23
15,24
16,25
17,25
18,26
19,26
20,26
21,27
22,28
23,28
24,28
25,29
26,29
27,29
28,29
29,29
30,29
31,29
32,29
33,29
34,29
35,29
36,27
37,27
38,27
39,27
40,27
41,28
42,28
43,28
44,28
45,28
46,28
47,29
48,29
49,29
50,29
51,29
52,29
53,30
54,30
55,31
56,31
57,31
58,31
59,32
60,32
61,32
62,32
63,32
64,33
65,33
66,33
67,33
68,32
69,31
70,31
71,31
72,31
73,31
74,32
75,32
76,32
77,32
78,32
79,32
80,32
81,33
82,33
83,32
84,32
85,32
86,32
87,32
88,32
89,32
90,33
91,33
92,33
93,33
94,33
95,33
96,33
97,33
98,33
99,33
100,33
101,33
102,33
103,33
104,33
105,33
106,33
107,33
108,33
109,33
110,33
111,33
112,34
113,34
114,34
115,34
116,34
117,34
118,34
119,34
120,33
121,33
122,33
123,33
124,33
125,33
126,33
127,33
128,33
129,34
130,34
131,34
132,34
133,32
134,32
135,32
136,32
137,32
138,32
139,32
140,32
141,31
142,31
143,31
144,31
145,31
146,31
147,31
148,31
149,31
150,32
151,32
152,32
153,32
154,32
155,32
156,32
157,32
158,32
159,32
