,fit_count,fit_item,reducer,booster
0,395362.5,68911.2,"['None', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+5%', '+10%', '+30%']","['None', 'None', '+2', '+2', '+2', 'None', '+2', '+2', '+2', '+2']"
1,757087.5,14127.75,"['None', '+5%', 'None', '+5%', '+5%', 'None', '+5%', 'None', 'None', 'None']","['None', 'None', '+1', 'None', '+2', 'None', '+2', '+2', '+2', '+2']"
2,553312.5,36286.8,"['None', '+5%', 'None', '+5%', '+5%', '+5%', 'None', '+5%', '+5%', '+10%']","['None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
3,297212.5,91938.0,"['None', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
4,302087.5,90413.4,"['None', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%']","['None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2']"
5,2749987.5,7615.349999999999,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1']"
6,371962.5,72993.6,"['None', '+10%', '+5%', '+10%', '+10%', '+10%', 'None', '+10%', '+10%', '+30%']","['+1', '+1', '+1', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
7,247650.0,144922.2,"['None', 'None', '+5%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2']"
8,259350.0,133193.4,"['None', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
9,446875.0,64480.2,"['None', '+5%', '+5%', '+5%', '+5%', '+5%', '+5%', '+10%', '+10%', '+10%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
10,361075.0,78829.2,"['None', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
11,576875.0,26844.6,"['None', 'None', '+5%', '+5%', '+5%', '+5%', '+5%', 'None', '+5%', '+10%']","['None', 'None', '+2', '+2', '+2', 'None', '+2', '+2', '+2', '+2']"
12,242450.0,157476.0,"['None', '+5%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
13,4885400.0,0.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
